second,cars,motorcycles,trucks,buses,others
1147,28,0,29,1,6
1148,103,1,26,0,12
1149,39,31,33,0,65
1150,50,14,30,0,33
1151,61,1,37,0,6
1152,32,9,34,0,23
1153,33,25,24,0,15
1154,87,79,25,0,24
1155,74,33,26,0,82
1156,96,8,43,0,41
1157,82,2,61,0,25
1158,117,24,68,0,29
1159,97,43,55,0,5
1160,42,0,60,0,7
1161,53,17,69,0,24
1162,56,25,62,6,40
1163,41,36,53,2,92
1164,29,56,30,0,123
1165,96,35,34,0,54
1166,56,11,58,6,66
1167,57,40,36,29,76
1168,90,72,53,10,70
1169,119,81,40,0,85
1170,120,63,22,0,53
1171,135,32,28,0,34
1172,147,31,19,0,24
1173,124,1,30,0,10
1174,57,0,30,3,0
1175,81,0,19,0,8
1176,82,0,8,0,7
1177,79,0,49,0,0
1178,42,0,32,0,6
1179,23,0,18,0,0
1180,67,15,25,0,15
1181,98,39,10,0,48
1182,53,42,21,0,48
1183,45,0,40,0,11
1184,61,0,46,0,2
1185,78,4,59,0,41
1186,68,32,43,0,53
1187,41,13,51,0,36
1188,49,0,38,0,37
1189,95,31,48,0,46
1190,119,39,36,0,39
1191,71,32,46,0,51
1192,106,15,77,1,61
1193,101,36,45,0,77
1194,86,23,34,0,57
1195,104,0,31,2,32
1196,120,0,11,3,31
1197,96,0,17,9,30
1198,92,0,4,1,31
1199,103,25,10,1,111
1200,91,30,32,8,103
1201,54,30,33,27,101
1202,46,9,35,29,49
1203,64,0,48,8,17
1204,115,1,21,0,25
1205,102,0,54,0,43
1206,72,27,62,0,56
1207,47,0,65,0,7
1208,82,0,43,0,0
1209,83,3,39,4,26
1210,120,0,55,3,26
1211,105,0,40,0,13
1212,81,7,34,0,6
1213,74,29,30,0,21
1214,60,64,34,0,61
1215,46,52,26,0,20
1216,45,36,53,8,7
1217,48,4,79,7,3
1218,66,0,35,0,0
1219,54,0,27,0,11
1220,67,1,55,0,29
1221,63,35,48,7,98
1222,65,48,60,5,98
1223,87,21,32,1,44
1224,121,48,23,0,25
1225,100,56,19,0,52
1226,112,38,49,0,36
1227,88,2,41,0,25
1228,56,0,44,1,1
1229,13,31,30,0,29
1230,22,23,30,0,19
1231,73,5,55,0,3
1232,90,1,66,2,30
1233,89,6,60,4,27
1234,89,62,72,9,146
1235,130,43,51,0,138
1236,70,29,30,0,114
1237,110,23,21,0,74
1238,129,0,4,0,85
1239,104,31,0,0,164
1240,58,31,0,0,184
1241,48,8,0,0,158
1242,45,0,8,4,156
1243,61,8,9,0,167
1244,19,7,0,0,131
1245,39,0,0,0,60
1246,29,4,15,0,55
1247,0,3,20,0,102
1248,9,1,29,0,52
1249,16,52,3,0,82
1250,54,82,13,2,86
1251,41,38,9,0,128
1252,43,36,18,0,79
1253,24,5,57,0,11
1254,20,8,50,0,12
1255,9,18,4,0,42
1256,42,64,0,0,18
1257,23,57,24,0,56
1258,31,67,22,0,53
1259,21,52,0,0,67
1260,41,38,1,0,76
1261,57,24,3,0,93
1262,78,41,30,0,106
1263,87,56,18,0,108
1264,100,23,16,0,25
1265,117,13,5,0,34
1266,133,1,20,0,48
1267,149,0,30,0,36
1268,113,0,11,0,35
1269,98,0,8,0,30
1270,120,0,7,0,32
1271,141,0,20,0,41
1272,164,29,4,0,61
1273,149,3,7,0,32
1274,147,24,44,0,82
1275,117,20,48,0,113
1276,100,34,18,0,85
1277,161,53,2,0,74
1278,162,35,1,0,81
1279,137,60,10,0,86
1280,110,66,13,0,86
1281,112,42,23,0,80
1282,156,44,16,0,72
1283,148,29,58,0,77
1284,109,3,30,0,55
1285,76,13,9,0,66
1286,46,6,3,0,46
1287,43,5,3,0,78
1288,64,15,0,0,86
1289,127,5,0,0,98
1290,61,46,1,0,102
1291,118,71,0,0,94
1292,149,35,5,0,79
1293,152,58,14,0,133
1294,116,60,30,0,70
1295,164,35,34,0,67
1296,165,41,67,0,94
1297,145,46,84,0,86
1298,133,48,77,0,58
1299,119,38,58,0,29
1300,151,17,69,0,16
1301,130,9,46,0,11
1302,149,39,53,0,24
1303,143,23,53,2,79
1304,126,28,67,6,90
1305,142,11,59,0,74
1306,154,15,49,0,66
1307,139,31,35,0,88
1308,163,17,58,1,34
1309,160,2,67,0,8
1310,163,0,59,6,6
1311,102,0,50,0,0
1312,40,0,133,0,0
1313,39,15,142,0,31
1314,50,18,110,0,14
1315,73,0,95,1,5
1316,66,0,132,14,17
1317,65,7,111,0,46
1318,109,11,123,1,30
1319,118,11,110,1,21
1320,98,35,71,0,16
1321,93,35,75,26,12
1322,91,54,51,28,42
1323,83,80,32,30,70
1324,81,71,46,30,50
1325,19,35,32,35,42
1326,5,32,27,43,38
1327,37,31,25,40,11
1328,57,1,31,34,4
1329,86,0,26,44,5
1330,24,0,30,36,1
1331,11,0,38,34,3
1332,66,3,60,33,5
1333,30,30,69,22,3
1334,58,60,94,10,42
1335,39,22,74,0,16
1336,91,59,74,0,54
1337,60,60,60,1,26
1338,78,39,45,0,13
1339,90,44,31,0,42
1340,69,55,9,0,105
1341,63,65,0,0,79
1342,101,33,1,0,67
1343,84,16,7,0,23
1344,58,9,1,0,37
1345,144,38,2,0,51
1346,158,75,11,0,97
1347,169,104,2,0,99
1348,163,209,5,0,219
1349,192,209,5,0,305
1350,105,274,18,0,331
1351,107,233,15,0,262
1352,165,132,40,0,163
1353,130,69,61,0,113
1354,102,47,38,8,39
1355,91,47,29,39,42
1356,105,84,32,30,132
1357,26,111,31,31,79
1358,77,38,35,30,16
1359,128,43,31,30,35
1360,74,25,47,30,14
1361,78,23,46,7,8
1362,59,27,46,0,1
1363,52,49,73,0,9
1364,89,97,60,0,36
1365,94,88,52,0,12
1366,145,63,25,0,73
1367,167,62,17,0,59
1368,118,33,41,0,23
1369,127,1,48,0,1
1370,121,1,56,0,2
1371,145,0,28,0,0
1372,116,12,22,0,0
1373,108,10,15,0,20
1374,128,60,9,0,67
1375,101,63,31,0,81
1376,119,38,35,0,60
1377,133,52,30,0,71
1378,112,31,29,0,2
1379,126,60,26,0,13
1380,87,63,28,0,1
1381,35,81,31,0,26
1382,31,50,42,0,34
1383,86,75,40,0,22
1384,103,92,53,0,77
1385,144,63,49,7,101
1386,167,78,54,19,112
1387,87,32,58,0,95
1388,83,27,28,0,72
1389,92,48,41,0,131
1390,66,42,54,0,90
1391,45,58,52,0,108
1392,109,19,58,0,45
1393,81,0,53,0,8
1394,70,19,92,0,35
1395,55,20,78,1,58
1396,65,30,86,3,30
1397,90,0,67,0,23
1398,73,1,68,0,13
1399,45,2,89,0,29
1400,96,3,84,0,62
1401,83,14,76,10,39
1402,71,35,56,2,80
1403,99,40,68,6,44
1404,148,38,89,10,12
1405,151,33,84,0,57
1406,153,6,58,0,23
1407,183,0,46,1,0
1408,216,5,20,1,7
1409,214,0,39,2,21
1410,230,0,33,1,28
1411,231,13,80,0,43
1412,148,27,53,0,37
1413,138,0,62,0,24
1414,162,0,72,0,29
1415,202,1,83,0,11
1416,174,0,105,0,2
1417,116,0,77,0,16
1418,41,0,96,0,27
1419,79,0,81,1,46
1420,114,24,69,0,42
1421,38,27,85,0,48
1422,9,6,90,0,41
1423,33,0,70,5,39
1424,11,0,73,20,50
1425,9,0,65,0,52
1426,2,0,68,0,62
1427,0,3,64,0,75
1428,3,43,46,0,90
1429,54,36,50,0,112
1430,115,38,46,0,103
1431,144,37,45,0,79
1432,48,38,28,0,86
1433,38,44,19,0,115
1434,77,57,7,0,161
1435,41,91,30,0,191
1436,51,56,29,0,181
1437,67,76,2,0,168
1438,77,50,0,0,175
1439,74,52,3,0,163
1440,87,85,3,0,120
1441,60,26,0,0,65
1442,91,36,2,0,146
1443,113,44,25,0,112
1444,94,49,29,0,126
1445,107,59,36,0,93
1446,109,31,44,0,73
1447,132,8,67,0,38
1448,123,15,38,0,38
1449,123,30,7,0,42
1450,159,55,27,0,32
1451,195,85,52,0,53
1452,164,127,37,0,78
1453,139,158,55,0,125
1454,116,108,82,0,100
1455,79,91,60,0,91
1456,57,104,66,0,126
1457,66,93,96,0,82
1458,72,78,93,2,71
1459,85,61,106,0,64
1460,103,37,69,0,33
1461,59,31,61,0,27
1462,99,30,47,2,30
1463,77,35,74,13,27
1464,58,50,66,13,21
1465,45,42,59,1,16
1466,60,0,75,1,1
1467,102,0,90,2,0
1468,82,10,73,12,15
1469,120,14,63,14,29
1470,97,22,81,18,50
1471,85,68,72,4,54
1472,59,6,77,0,4
1473,64,40,80,0,8
1474,68,40,89,0,17
1475,46,18,75,0,5
1476,56,15,59,0,14
1477,42,32,51,0,56
1478,21,46,49,0,59
1479,23,7,35,0,70
1480,19,0,30,0,70
1481,2,31,11,0,109
1482,0,20,0,0,40
1483,0,5,5,0,0
1484,3,26,5,0,7
1485,1,57,0,0,59
1486,0,47,0,0,70
1487,0,63,0,0,47
1488,35,115,0,0,100
1489,64,167,1,0,83
1490,85,142,24,0,167
1491,64,140,4,0,166
1492,76,84,1,0,111
1493,98,56,0,0,53
1494,173,34,0,0,9
1495,161,25,11,0,27
1496,85,16,36,12,32
1497,138,27,50,11,36
1498,123,3,75,2,8
1499,148,0,71,0,0
1500,135,0,108,0,0
1501,148,0,102,0,0
1502,130,20,111,14,13
1503,166,31,94,11,44
1504,211,25,63,0,31
1505,223,14,65,0,36
1506,156,34,60,0,62
1507,167,46,84,0,62
1508,109,3,91,0,8
1509,136,19,104,1,26
1510,69,18,107,1,19
1511,37,19,105,12,30
1512,79,73,94,0,39
1513,76,54,105,0,1
1514,93,49,101,0,45
1515,109,56,45,0,53
1516,102,51,77,0,50
1517,89,35,38,0,37
1518,66,18,68,0,30
1519,58,11,58,0,74
1520,81,0,37,0,104
1521,74,1,34,0,104
1522,98,0,39,1,66
1523,57,0,10,0,95
1524,53,18,19,0,100
1525,26,0,30,0,104
1526,11,0,25,0,119
1527,16,0,1,0,82
1528,45,0,0,0,79
1529,20,14,8,0,115
1530,26,5,4,0,154
1531,22,45,4,0,177
1532,13,11,12,0,138
1533,53,16,9,0,102
1534,48,6,16,0,72
1535,94,25,0,0,75
1536,59,83,0,0,83
1537,94,96,1,2,54
1538,79,72,35,7,66
1539,94,62,23,0,98
1540,98,63,26,0,46
1541,91,30,30,0,31
1542,49,27,42,1,44
1543,48,39,48,0,73
1544,37,38,30,1,22
1545,38,84,16,0,135
1546,34,59,9,0,113
1547,42,31,29,0,84
1548,49,17,21,0,32
1549,11,2,36,0,18
1550,65,45,16,0,36
1551,66,46,30,0,48
1552,71,59,16,0,53
1553,4,50,26,2,40
1554,114,37,46,6,74
1555,72,45,80,1,103
1556,35,29,77,0,98
1557,58,54,42,8,64
1558,52,33,17,13,73
1559,85,11,33,30,15
1560,53,14,35,16,25
1561,26,15,39,30,28
1562,8,53,57,5,60
1563,17,43,30,0,64
1564,30,29,16,0,77
1565,22,32,11,0,132
1566,9,17,14,0,53
1567,17,0,28,0,5
1568,33,0,8,0,0
1569,75,0,0,0,0
1570,42,0,24,0,0
1571,47,0,26,0,0
1572,26,0,31,0,23
1573,1,2,30,0,45
1574,0,24,28,0,65
1575,0,46,2,0,78
1576,0,62,0,0,98
1577,20,19,0,0,70
1578,14,1,0,0,73
1579,61,0,21,0,59
1580,36,36,60,0,108
1581,34,17,46,0,93
1582,94,2,28,0,23
1583,94,0,55,0,42
1584,107,0,39,0,15
1585,105,0,29,0,2
1586,94,0,3,0,9
1587,75,1,0,0,12
1588,51,0,0,0,37
1589,83,5,9,0,58
1590,65,32,27,0,105
1591,42,4,37,0,33
1592,47,2,55,0,18
1593,16,6,48,0,84
1594,15,30,58,0,58
1595,40,85,41,0,96
1596,56,99,33,0,181
1597,75,101,33,0,170
1598,113,28,34,0,92
1599,72,0,41,0,39
1600,63,5,16,0,39
1601,61,18,18,0,75
1602,78,28,8,0,78
1603,23,46,24,0,125
1604,23,9,30,0,114
1605,13,7,34,0,91
1606,12,10,15,0,106
1607,35,11,6,0,82
1608,73,25,25,0,80
1609,81,35,38,0,55
1610,100,26,49,1,78
1611,48,36,20,0,136
1612,96,32,1,0,98
1613,129,10,10,0,50
1614,93,71,24,0,77
1615,84,74,24,0,129
1616,89,76,0,0,120
1617,77,74,0,0,129
1618,35,64,1,0,176
1619,14,84,0,0,141
1620,0,40,0,0,55
1621,28,58,0,0,134
1622,29,40,0,0,90
1623,76,27,0,0,64
1624,29,1,0,0,64
1625,8,0,0,0,79
1626,27,0,0,0,73
1627,49,0,0,0,60
1628,62,0,0,0,54
1629,64,0,4,0,65
1630,45,2,20,0,30
1631,84,0,30,0,54
1632,109,0,30,0,22
1633,156,3,7,0,14
1634,143,0,14,0,6
1635,125,8,35,0,18
1636,61,25,52,0,35
1637,10,30,32,0,84
1638,27,2,54,0,51
1639,17,0,98,0,72
1640,43,0,58,7,51
1641,14,3,69,0,44
1642,26,6,68,0,66
1643,75,4,77,0,42
1644,63,1,64,0,42
1645,83,0,41,10,33
1646,39,13,75,25,29
1647,19,0,78,31,47
1648,35,10,61,33,74
1649,63,46,28,30,81
1650,41,26,8,30,66
1651,57,44,17,31,130
1652,41,22,21,30,118
1653,67,64,26,37,124
1654,57,18,47,38,69
1655,46,45,60,5,117
1656,68,60,45,0,137
1657,64,10,73,0,102
1658,32,6,58,0,89
1659,24,3,64,1,95
1660,36,27,47,0,46
1661,18,25,48,0,36
1662,12,17,54,2,35
1663,38,23,67,1,51
1664,58,41,74,0,36
1665,57,57,63,0,43
1666,57,45,35,3,35
1667,24,52,51,16,61
1668,55,4,40,1,76
1669,83,0,51,1,57
1670,89,3,50,0,54
1671,116,15,29,0,92
1672,129,5,47,0,115
1673,164,33,37,2,143
1674,118,20,30,0,117
1675,98,0,7,1,121
1676,135,0,17,0,101
1677,121,0,6,0,87
1678,86,1,17,0,70
1679,54,18,16,0,91
1680,45,19,23,0,109
1681,35,21,38,0,139
1682,88,51,38,9,127
1683,53,51,40,9,141
1684,34,70,14,8,164
1685,42,68,0,0,103
1686,57,33,0,0,99
1687,79,12,0,0,69
1688,48,0,0,0,62
1689,79,0,1,0,50
1690,91,0,1,0,10
1691,118,28,1,0,60
1692,109,33,0,0,28
1693,80,15,0,0,44
1694,94,11,1,0,82
1695,81,59,1,0,210
1696,92,33,1,0,116
1697,91,26,0,0,95
1698,98,0,0,0,57
1699,123,0,6,0,93
1700,128,45,16,0,113
1701,178,69,46,0,76
1702,145,30,42,0,17
1703,205,42,31,0,41
1704,134,43,46,0,39
1705,122,23,67,0,34
1706,157,2,58,0,40
1707,168,6,53,3,76
1708,139,47,12,0,95
1709,109,58,11,0,143
1710,145,75,30,3,127
1711,143,85,56,9,114
1712,127,99,80,1,166
1713,85,32,89,4,115
1714,93,18,70,9,35
1715,107,21,74,23,37
1716,124,30,59,37,13
1717,78,72,56,25,35
1718,24,57,121,19,100
1719,27,83,108,4,37
1720,46,83,39,0,50
1721,87,97,20,0,53
1722,94,87,18,0,76
1723,121,102,10,0,71
1724,103,94,29,1,129
1725,75,65,37,0,73
1726,118,96,21,0,58
1727,114,35,52,2,68
1728,104,34,56,0,51
1729,91,44,38,0,142
1730,100,47,31,0,106
1731,136,3,30,0,23
1732,112,4,30,0,20
1733,109,1,25,0,30
1734,92,0,7,0,0
1735,102,7,0,0,20
1736,108,60,0,0,35
1737,104,17,0,0,8
1738,99,20,0,0,6
1739,29,23,1,0,18
1740,37,24,0,0,43
1741,134,38,4,0,74
1742,123,29,21,0,32
1743,83,30,3,0,42
1744,81,40,16,0,24
1745,110,29,12,0,20
1746,144,28,71,2,2
1747,74,8,61,1,20
1748,41,37,42,0,7
1749,40,26,56,1,12
1750,108,61,48,0,25
1751,69,12,33,3,22
1752,81,32,34,5,36
1753,61,36,38,3,35
1754,85,46,4,0,34
1755,42,73,0,0,69
1756,13,69,0,0,56
1757,83,51,1,0,53
1758,83,28,0,0,25
1759,107,30,0,0,5
1760,126,21,19,0,14
1761,77,42,19,0,9
1762,64,35,21,0,25
1763,40,43,49,1,39
1764,35,58,37,0,54
1765,67,52,30,0,54
1766,160,42,63,2,31
1767,106,35,82,6,48
1768,88,24,86,0,55
1769,62,0,47,1,5
1770,56,4,39,0,5
1771,22,8,48,0,31
1772,67,13,53,0,19
1773,105,0,57,0,1
1774,94,2,53,0,4
1775,100,0,60,0,5
1776,89,0,56,0,6
1777,70,0,50,0,30
1778,46,0,28,0,25
1779,94,0,13,0,30
1780,118,0,4,0,6
1781,56,15,8,0,31
1782,16,16,10,0,12
1783,61,16,13,0,4
1784,71,3,35,0,5
1785,70,1,30,0,2
1786,96,0,31,0,2
1787,143,0,20,0,1
1788,197,26,20,0,32
1789,150,16,23,0,31
1790,118,3,54,1,30
1791,128,0,75,0,26
1792,150,0,80,0,30
1793,173,0,71,1,41
1794,162,0,55,0,38
1795,147,13,52,0,16
1796,166,42,47,0,29
1797,155,29,32,0,28
1798,163,34,33,0,30
1799,146,19,30,0,30
1800,108,1,48,0,34
1801,67,12,51,0,41
1802,60,72,58,0,87
1803,22,29,55,0,33
1804,35,27,41,0,35
1805,37,14,58,0,46
1806,31,2,57,2,62
1807,39,0,20,0,81
1808,55,25,0,0,92
1809,58,18,0,0,102
1810,45,10,0,0,91
1811,17,1,0,0,70
1812,62,0,0,0,51
1813,35,0,0,4,1
1814,53,0,20,0,9
1815,15,7,39,1,0
1816,26,39,30,0,89
1817,33,36,19,0,111
1818,30,60,0,0,74
1819,30,26,26,0,27
1820,0,0,30,0,0
1821,50,0,32,0,2
1822,23,36,39,0,26
1823,26,40,18,0,80
1824,33,31,0,0,78
1825,1,14,0,0,54
1826,36,34,16,0,56
1827,81,20,15,0,100
1828,29,29,43,0,122
1829,56,22,31,1,50
1830,5,46,33,0,91
1831,17,34,36,0,60
1832,30,13,23,0,32
1833,13,1,0,0,35
1834,53,0,0,0,37
1835,53,4,0,0,47
1836,10,2,0,0,50
1837,2,19,0,0,68
1838,30,19,8,0,72
1839,31,11,26,0,78
1840,2,27,1,0,58
1841,6,56,0,0,57
1842,7,20,0,0,16
1843,17,7,2,0,8
1844,14,31,1,0,26
1845,3,57,1,0,112
1846,28,67,2,0,87
1847,65,16,10,0,33
1848,89,0,9,0,0
1849,86,7,11,0,21
1850,70,53,28,0,83
1851,70,27,30,0,21
1852,121,12,39,0,19
1853,93,0,50,1,17
1854,115,0,42,0,2
1855,101,0,50,1,0
1856,74,0,61,4,8
1857,49,21,49,0,23
1858,88,18,47,0,19
1859,34,27,57,1,13
1860,30,16,54,0,6
1861,1,46,30,0,54
1862,1,49,13,0,51
1863,2,19,0,0,14
1864,5,0,0,0,0
1865,1,0,0,0,0
1866,3,30,25,0,38
1867,1,27,16,0,39
1868,20,16,8,0,53
1869,29,29,3,0,40
1870,40,63,3,0,70
1871,46,60,0,0,56
1872,53,36,39,0,19
1873,39,47,22,0,51
1874,43,85,11,0,141
1875,23,80,27,0,126
1876,70,33,58,0,9
1877,66,9,66,0,1
1878,43,9,55,0,26
1879,8,55,48,0,103
1880,8,80,27,0,133
1881,8,56,42,0,88
1882,10,55,34,0,65
1883,38,30,46,0,20
1884,40,12,41,0,4
1885,11,32,71,0,2
1886,23,61,64,0,40
1887,56,56,40,1,48
1888,110,77,34,0,64
1889,39,85,6,0,83
1890,33,67,0,0,61
1891,45,22,3,0,27
1892,52,40,20,0,48
1893,27,33,46,1,136
1894,31,5,60,2,60
1895,19,0,66,2,46
1896,36,2,51,0,26
1897,51,0,7,0,11
1898,30,0,4,0,9
1899,44,0,1,0,5
1900,67,0,2,0,0
1901,20,8,8,0,14
1902,48,46,27,0,85
1903,70,62,35,1,95
1904,112,66,25,0,106
1905,133,23,18,0,24
1906,98,21,44,0,53
1907,88,0,47,5,3
1908,70,12,39,41,3
1909,123,52,19,49,12
1910,213,29,6,30,18
1911,128,34,12,32,35
1912,106,37,23,10,28
1913,141,30,3,0,33
1914,123,30,20,0,0
1915,117,21,34,0,2
1916,127,20,29,0,5
1917,97,56,33,0,44
1918,78,111,41,0,122
1919,87,80,45,0,120
1920,94,36,64,0,20
1921,94,0,57,0,1
1922,69,0,74,0,1
1923,94,17,49,22,14
1924,72,31,44,30,58
1925,44,30,26,23,41
1926,81,34,2,11,52
1927,80,2,21,3,17
1928,25,7,67,0,3
1929,31,20,68,0,1
1930,61,3,69,0,0
1931,34,1,62,13,0
1932,49,42,66,15,81
1933,58,30,62,3,34
1934,47,42,67,0,67
1935,104,34,60,6,75
1936,117,47,85,1,122
1937,80,60,78,16,58
1938,56,52,76,30,56
1939,77,20,105,11,73
1940,95,1,90,0,12
1941,95,0,53,1,4
1942,83,1,58,14,2
1943,65,11,51,7,45
1944,20,17,59,0,47
1945,4,30,26,0,31
1946,34,2,27,0,1
1947,35,23,22,0,37
1948,37,29,6,0,66
1949,11,19,1,0,43
1950,13,2,0,0,47
1951,36,19,29,0,52
1952,8,20,22,0,93
1953,56,31,3,0,71
1954,52,5,19,0,49
1955,37,9,30,0,19
1956,44,51,0,0,97
1957,48,12,1,0,39
1958,66,2,2,0,1
1959,54,0,5,0,15
1960,60,3,5,0,26
1961,41,15,0,0,6
1962,90,0,1,0,0
1963,104,10,10,0,1
1964,132,20,12,0,11
1965,130,27,11,0,38
1966,120,2,13,0,3
1967,130,0,7,0,0
1968,122,0,9,0,0
1969,110,9,26,0,10
1970,112,22,29,0,24
1971,150,0,30,0,0
1972,97,0,30,0,0
1973,57,11,37,0,1
1974,91,3,80,1,4
1975,93,0,86,2,16
1976,76,22,47,2,28
1977,72,31,28,0,49
1978,32,31,1,0,38
1979,75,11,42,0,4
1980,92,0,52,1,5
1981,44,1,31,1,3
1982,26,0,25,0,4
1983,41,0,30,0,5
1984,41,0,30,9,0
1985,34,0,26,6,27
1986,39,5,30,3,54
1987,29,22,23,6,73
1988,13,62,14,0,138
1989,45,42,0,0,50
1990,57,17,2,0,9
1991,9,1,7,0,0
1992,14,0,27,0,1
1993,57,1,9,0,30
1994,50,0,36,0,9
1995,62,1,51,0,0
1996,8,5,4,0,6
1997,7,0,4,0,5
1998,32,4,29,0,20
1999,17,16,31,0,55
2000,62,55,31,0,42
2001,41,56,40,0,98
2002,49,11,78,0,53
2003,28,4,89,1,36
2004,52,2,73,0,23
2005,48,8,67,0,47
2006,49,0,79,0,42
2007,48,12,83,1,51
2008,67,21,86,0,33
2009,49,7,39,0,15
2010,103,14,42,0,17
2011,62,20,39,0,45
2012,58,22,40,0,43
2013,42,35,49,0,54
2014,12,75,46,0,61
2015,12,14,86,2,43
2016,1,52,73,0,66
2017,10,63,73,0,120
2018,63,64,105,3,55
2019,29,60,68,0,93
2020,44,25,73,11,71
2021,66,39,45,1,20
2022,87,19,24,0,3
2023,94,0,0,0,0
2024,104,0,2,0,2
2025,73,0,14,0,18
2026,35,56,10,0,71
2027,18,158,2,0,238
2028,31,182,2,0,274
2029,66,108,0,0,218
2030,77,32,4,0,118
2031,67,12,11,0,39
2032,29,14,24,0,39
2033,66,47,16,0,64
2034,155,75,19,0,57
2035,118,67,34,14,27
2036,128,105,56,1,56
2037,126,86,33,8,75
2038,118,62,28,0,52
2039,79,8,24,7,52
2040,97,0,20,0,97
2041,55,0,17,4,62
2042,0,21,29,1,44
2043,17,37,3,0,69
2044,42,28,0,0,94
2045,31,0,0,0,62
2046,30,0,6,0,60
2047,61,10,8,0,32
2048,77,26,11,0,36
2049,70,29,17,0,33
2050,66,26,25,0,15
2051,52,3,32,0,0
2052,85,0,43,7,17
2053,39,0,52,1,40
2054,35,0,67,0,30
2055,24,3,43,0,35
2056,17,14,53,1,35
2057,35,52,38,0,81
2058,25,74,27,0,207
2059,53,43,39,0,130
2060,31,65,25,0,168
2061,22,70,29,0,146
2062,8,70,34,0,163
2063,7,56,30,1,148
2064,13,17,36,0,89
2065,66,37,34,0,71
2066,69,8,37,0,78
2067,53,2,38,0,111
2068,84,32,19,0,97
2069,80,30,22,0,115
2070,29,60,30,0,93
2071,44,27,30,0,86
2072,35,4,30,4,88
2073,19,7,26,11,77
2074,20,52,3,0,170
2075,25,64,0,0,78
2076,12,62,0,0,133
2077,1,87,0,0,157
2078,35,56,0,0,216
2079,22,68,0,0,244
2080,12,50,1,0,184
2081,13,8,39,0,89
2082,13,0,54,0,76
2083,24,43,30,0,121
2084,29,123,29,0,240
2085,24,124,16,0,229
2086,54,97,18,0,166
2087,55,60,20,0,77
2088,47,43,34,0,46
2089,64,55,50,0,61
2090,28,85,14,0,142
2091,8,55,10,0,190
2092,18,30,16,0,146
2093,39,15,26,0,110
2094,81,0,12,0,53
2095,80,7,1,0,48
2096,104,23,13,0,80
2097,44,22,29,0,77
2098,63,29,23,0,62
2099,88,47,10,0,52
2100,119,52,10,0,50
2101,113,60,10,0,69
2102,102,0,2,0,34
2103,102,27,11,0,59
2104,93,31,59,5,97
2105,107,40,50,0,100
2106,110,29,36,0,76
2107,105,1,46,0,14
2108,107,44,52,0,32
2109,153,46,27,0,61
2110,110,55,27,0,46
2111,115,46,3,0,71
2112,114,87,1,0,132
2113,85,143,0,0,137
2114,53,113,2,0,184
2115,82,80,0,0,93
2116,70,45,0,0,99
2117,65,52,0,0,147
2118,65,57,0,0,129
2119,58,24,0,0,134
2120,39,20,0,0,51
2121,89,21,0,0,120
2122,68,31,0,0,105
2123,35,8,0,0,40
2124,13,16,0,0,18
2125,28,41,1,0,24
2126,94,3,15,0,32
2127,56,0,27,0,36
2128,24,0,16,0,30
2129,76,0,5,0,32
2130,84,0,4,0,35
2131,46,0,25,0,42
2132,35,13,30,0,37
2133,30,25,30,0,58
2134,66,3,25,0,56
2135,55,0,6,0,38
2136,19,0,5,0,36
2137,4,8,27,1,38
2138,31,48,35,0,61
2139,85,24,30,0,81
2140,82,29,22,0,138
2141,51,18,16,0,155
2142,37,43,5,0,165
2143,38,43,16,0,125
2144,37,36,30,0,79
2145,20,13,29,0,32
2146,2,0,30,0,11
2147,0,6,30,0,29
2148,69,4,30,0,44
2149,74,0,33,1,30
2150,53,0,33,0,34
2151,16,0,30,0,29
2152,79,30,36,0,15
2153,26,54,17,0,89
2154,19,65,0,0,167
2155,8,76,8,0,168
2156,66,86,13,0,177
2157,92,53,56,2,145
2158,119,40,23,15,95
2159,113,52,12,2,123
2160,108,69,1,0,130
2161,69,54,22,0,121
2162,117,40,45,0,55
2163,54,8,53,0,17
2164,57,0,32,0,23
2165,31,0,35,0,27
2166,56,0,24,0,24
2167,51,4,30,0,9
2168,49,3,32,0,17
2169,84,11,58,0,0
2170,66,0,72,0,2
2171,43,0,58,0,0
2172,53,0,39,0,0
2173,21,14,36,0,20
2174,21,73,60,0,79
2175,20,60,68,0,46
2176,88,96,90,0,60
2177,95,126,64,0,101
2178,70,118,47,0,57
2179,63,96,30,0,42
2180,119,77,56,0,53
2181,59,91,74,0,89
2182,90,65,71,0,66
2183,71,93,56,0,124
2184,40,80,50,0,78
2185,31,67,38,0,49
2186,62,33,31,0,31
2187,96,31,14,1,21
2188,66,9,15,0,13
2189,59,37,21,0,37
2190,52,38,59,0,47
2191,29,29,46,0,60
2192,32,10,37,0,42
2193,30,12,33,0,66
2194,66,24,11,0,76
2195,68,25,6,0,70
2196,47,0,0,0,33
2197,29,0,0,0,37
2198,1,0,0,0,18
2199,0,8,0,0,6
2200,23,31,14,0,63
2201,59,39,38,1,104
2202,18,43,57,3,110
2203,2,30,15,0,92
2204,20,4,15,0,77
2205,6,0,5,0,68
2206,6,0,4,0,55
2207,8,0,1,0,64
2208,34,8,0,0,71
2209,28,28,1,0,100
2210,29,23,21,0,105
2211,4,26,3,0,105
2212,3,10,16,0,88
2213,3,0,17,0,67
2214,25,11,12,0,77
2215,27,30,0,0,107
2216,18,13,1,0,96
2217,30,0,7,0,76
2218,4,23,0,0,62
2219,17,46,0,0,45
2220,37,29,0,0,23
2221,41,44,0,0,43
